Limit	:	Expected	:	Actual
9360	:	13.2	:	13.0
9370	:	13.2	:	13.0
9380	:	13.2	:	12.0
9390	:	13.2	:	8.0
9400	:	13.2	:	12.0
9410	:	13.2	:	12.0
9420	:	13.2	:	9.0
9430	:	13.2	:	11.0
9440	:	13.2	:	12.0
9450	:	13.2	:	12.5
9460	:	13.2	:	13.0
9470	:	13.2	:	13.0
9480	:	13.2	:	13.0
9490	:	13.2	:	13.0
9500	:	13.2	:	12.0
9510	:	13.2	:	13.0
9520	:	13.2	:	13.0
9530	:	13.2	:	11.0
9540	:	13.2	:	10.0
9550	:	13.2	:	13.0
9560	:	13.2	:	12.0
9570	:	13.2	:	12.0
9580	:	13.2	:	11.0
9590	:	13.2	:	11.0
9600	:	13.2	:	12.0
9610	:	13.2	:	14.0
9620	:	13.2	:	12.0
9630	:	13.2	:	12.0
9640	:	13.2	:	13.0
9650	:	13.2	:	13.0
9660	:	13.2	:	13.0
9670	:	13.2	:	11.0
9680	:	13.2	:	12.0
9690	:	13.2	:	13.0
9700	:	13.2	:	12.5
9710	:	13.2	:	13.0
9720	:	13.2	:	11.0
9730	:	13.2	:	11.0
9740	:	13.2	:	12.0
9750	:	13.3	:	13.0
9760	:	13.3	:	12.0
9770	:	13.3	:	14.0
9780	:	13.3	:	12.0
9790	:	13.3	:	13.0
9800	:	13.3	:	12.0
9810	:	13.3	:	13.0
9820	:	13.3	:	13.0
9830	:	13.3	:	12.0
9840	:	13.3	:	14.0
9850	:	13.3	:	13.0
9860	:	13.3	:	14.0
9870	:	13.3	:	10.0
9880	:	13.3	:	10.0
9890	:	13.3	:	13.0
9900	:	13.3	:	13.5
9910	:	13.3	:	11.0
9920	:	13.3	:	12.0
9930	:	13.3	:	11.0
9940	:	13.3	:	14.0
9950	:	13.3	:	12.5
9960	:	13.3	:	14.0
9970	:	13.3	:	9.0
9980	:	13.3	:	13.0
9990	:	13.3	:	12.0
10000	:	13.3	:	12.0
